Sample.Name,Plate,Slurry_vol_ml,SA_cm2
Blank_Plate1,PLATE1,50,0
A01,PLATE1,50,12.71048334
A02,PLATE1,50,12.35955882
A03,PLATE1,50,11.632188
A04,PLATE1,50,14.08865964
A05,PLATE1,50,17.79569866
A06,PLATE1,50,23.27969184
A07,PLATE1,50,26.25297959
A08,PLATE1,50,30.29818223
A09,PLATE1,50,15.3360368
A10,PLATE1,50,15.24671055
B01,PLATE1,50,21.54102035
B02,PLATE1,50,17.41606213
B03,PLATE1,50,17.21826831
B04,PLATE1,50,24.1793347
B05,PLATE1,50,16.36647879
B06,PLATE1,50,29.0125224
B07,PLATE1,50,15.84966268
B09,PLATE1,50,7.354099079
B10,PLATE1,50,8.872645184
C01,PLATE1,50,47.1170374
C02,PLATE1,50,31.69549987
C03,PLATE1,50,40.06664478
C04,PLATE1,50,21.28899274
C05,PLATE1,50,45.3751757
C06,PLATE1,50,20.0990396
C07,PLATE1,50,9.249091487
C08,PLATE1,50,9.957320972
C09,PLATE1,50,14.16522499
C10,PLATE1,50,16.77801755
Blank_Plate2,PLATE2,50,0
D01,PLATE2,50,22.68312015
D02,PLATE2,50,28.12564043
D03,PLATE2,50,15.28499323
D04,PLATE2,50,18.09876983
D05,PLATE2,50,19.5279897
D06,PLATE2,50,17.82760089
D07,PLATE2,50,15.83371157
D08,PLATE2,50,13.62288709
D09,PLATE2,50,9.268232824
D10,PLATE2,50,6.853234083
E01,PLATE2,50,37.14759082
E02,PLATE2,50,49.80958554
E03,PLATE2,50,37.84624963
E04,PLATE2,50,35.68646872
E05,PLATE2,50,24.54940055
E06,PLATE2,50,62.32483001
E07,PLATE2,50,37.95471721
E08,PLATE2,50,16.97900159
E09,PLATE2,50,51.01868002
E10,PLATE2,50,53.84840774
F01,PLATE2,50,29.4719145
F02,PLATE2,50,85.48584832
F03,PLATE2,50,18.53583037
F04,PLATE2,50,23.91135597
F05,PLATE2,50,19.62050616
F06,PLATE2,50,29.61547453
F07,PLATE2,50,17.78931821
F08,PLATE2,50,17.76060621
F09,PLATE2,50,31.89329369
F10,PLATE2,50,26.16046312
Blank_Plate3,PLATE3,50,0
G01,PLATE3,50,48.33251233
G02,PLATE3,50,32.29207155
G03,PLATE3,50,17.0077136
G04,PLATE3,50,23.71356215
G05,PLATE3,50,29.18798466
G06,PLATE3,50,24.51111788
G07,PLATE3,50,36.17776305
G08,PLATE3,50,35.40891933
G09,PLATE3,50,23.67527948
G10,PLATE3,50,24.19847603
H01,PLATE3,50,42.66667645
H02,PLATE3,50,25.64045679
H03,PLATE3,50,18.7623362
H04,PLATE3,50,25.86377239
H05,PLATE3,50,32.6047134
H06,PLATE3,50,39.75400293
H07,PLATE3,50,36.03420302
H08,PLATE3,50,41.77979448
H09,PLATE3,50,28.63288588
H10,PLATE3,50,37.37409664
I01,PLATE3,50,23.28607228
I02,PLATE3,50,14.36939925
I03,PLATE3,50,20.75941574
I04,PLATE3,50,27.58011232
I05,PLATE3,50,25.06302644
I06,PLATE3,50,29.48467539
I07,PLATE3,50,15.32965635
I08,PLATE3,50,15.66781998
I09,PLATE3,50,25.83506039
I10,PLATE3,50,17.59152439
Blank_Plate4,PLATE4,50,0
J01,PLATE4,50,31.07978685
J02,PLATE4,50,42.74962224
J03,PLATE4,50,42.51354575
J04,PLATE4,50,52.20225272
J05,PLATE4,50,52.92643332
J06,PLATE4,50,13.97062139
J07,PLATE4,50,33.27466021
J08,PLATE4,50,32.58876228
J09,PLATE4,50,27.88956394
J10,PLATE4,50,25.31505405
B08,PLATE4,50,8.295214837
