"frag_ID","count_avg","full_species","species","blastate_vol_mL","morphology","stress","bvi","life_history","perf_imperf","SA_cm2","sym_mL","sym_total","sym_cm2"
"C01",117.5,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",47.1170374,1175000,58750000,1246895.0350431
"D01",54.3333333333333,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",22.68312015,543333.333333333,27166666.6666667,1197660.04354858
"C02",51.1666666666667,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",31.69549987,511666.666666667,25583333.3333333,807159.799916837
"C03",67.3333333333333,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",40.06664478,673333.333333333,33666666.6666667,840266.681962648
"C04",66.1666666666667,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",21.28899274,661666.666666667,33083333.3333333,1554011.20839188
"C05",153.166666666667,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",45.3751757,1531666.66666667,76583333.3333333,1687780.42513086
"C06",90.6666666666667,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",20.0990396,906666.666666667,45333333.3333333,2255497.48821498
"C07",91,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",9.249091487,910000,45500000,4919402.09089209
"C08",37.3333333333333,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",9.957320972,373333.333333333,18666666.6666667,1874667.56561904
"C09",43.1666666666667,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",14.16522499,431666.666666667,21583333.3333333,1523684.47014221
"C10",42.8333333333333,"Favites complanata","Fcom",50,"massive/sub","tolerant",2,"tolerant","imperforate",16.77801755,428333.333333333,21416666.6666667,1276471.82409025
"D02",52.6666666666667,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",28.12564043,526666.666666667,26333333.3333333,936274.976524449
"D03",36.3333333333333,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",15.28499323,363333.333333333,18166666.6666667,1188529.58541132
"D04",59.1666666666667,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",18.09876983,591666.666666667,29583333.3333333,1634549.39817494
"D05",42.1666666666667,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",19.5279897,421666.666666667,21083333.3333333,1079646.88927163
"D06",82.3333333333333,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",17.82760089,823333.333333333,41166666.6666667,2309153.48176536
"D07",65.8333333333333,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",15.83371157,658333.333333333,32916666.6666667,2078897.70639965
"D08",47.8333333333333,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",13.62288709,478333.333333333,23916666.6666667,1755623.93703042
"D09",61.1666666666667,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",9.268232824,611666.666666667,30583333.3333333,3299802.01340412
"D10",72,"Porites rus","Prus",50,"massive/sub","tolerant",3,"weedy","perforate",6.853234083,720000,3.6e+07,5252994.36207803
"E01",159.5,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",37.14759082,1595000,79750000,2146841.78003444
"E02",106.166666666667,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",49.80958554,1061666.66666667,53083333.3333333,1065725.25665174
"E03",92.6666666666667,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",37.84624963,926666.666666667,46333333.3333333,1224251.64412079
"E04",17.1666666666667,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",35.68646872,171666.666666667,8583333.33333333,240520.669071494
"E05",23.8333333333333,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",24.54940055,238333.333333333,11916666.6666667,485415.790189902
"E06",140.333333333333,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",62.32483001,1403333.33333333,70166666.6666667,1125822.0304076
"E07",60.3333333333333,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",37.95471721,603333.333333333,30166666.6666667,794806.782507619
"E08",11,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",16.97900159,110000,5500000,323929.529710351
"E09",82.5,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",51.01868002,825000,41250000,808527.38612268
"E10",70.3333333333333,"Pocillopora eydouxi","Peyd",50,"branch/tabular","sensitive",4.5,"competitive","imperforate",53.84840774,703333.333333333,35166666.6666667,653067.901960339
"G01",140,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",48.33251233,1400000,7e+07,1448300.46330017
"G02",116.833333333333,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",32.29207155,1168333.33333333,58416666.6666667,1809009.5761189
"G03",63.1666666666667,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",17.0077136,631666.666666667,31583333.3333333,1857000.53964534
"G04",104,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",23.71356215,1040000,5.2e+07,2192837.99165534
"G05",107,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",29.18798466,1070000,53500000,1832946.00922954
"G06",103.5,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",24.51111788,1035000,51750000,2111286.81496105
"G07",84,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",36.17776305,840000,4.2e+07,1160934.13354367
"G08",98.3333333333333,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",35.40891933,983333.333333333,49166666.6666667,1388539.03471181
"G09",64.5,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",23.67527948,645000,32250000,1362180.32937029
"G10",39.3333333333333,"Echinopora lamellosa","Elam",50,"massive/sub","tolerant",3.5,"generalist","imperforate",24.19847603,393333.333333333,19666666.6666667,812723.356722339
"H01",184.166666666667,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",42.66667645,1841666.66666667,92083333.3333333,2158202.63013088
"H02",59,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",25.64045679,590000,29500000,1150525.52462736
"H03",55.8333333333333,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",18.7623362,558333.333333333,27916666.6666667,1487909.94730532
"H04",125.166666666667,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",25.86377239,1251666.66666667,62583333.3333333,2419729.51159788
"H05",123.166666666667,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",32.6047134,1231666.66666667,61583333.3333333,1888786.21866167
"H06",113.333333333333,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",39.75400293,1133333.33333333,56666666.6666667,1425432.97505026
"H07",174,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",36.03420302,1740000,8.7e+07,2414372.80995815
"H08",201.5,"Montipora aequituberculata","Maeq",50,"plating","sensitive",3.5,"competitive","perforate",41.77979448,2015000,100750000,2411452.74298152
