frag_ID,full_species,species,blastate_vol_mL,morphology,stress,bvi,life_history,SA_cm2
C01,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,47.1170374
C02,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,31.69549987
C03,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,40.06664478
C04,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,21.28899274
C05,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,45.3751757
C06,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,20.0990396
C07,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,9.249091487
C08,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,9.957320972
C09,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,14.16522499
C10,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,16.77801755
D01,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,22.68312015
D02,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,28.12564043
D03,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,15.28499323
D04,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,18.09876983
D05,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,19.5279897
D06,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,17.82760089
D07,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,15.83371157
D08,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,13.62288709
D09,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,9.268232824
D10,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,6.853234083
E01,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,37.14759082
E02,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,49.80958554
E03,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,37.84624963
E04,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,35.68646872
E05,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,24.54940055
E06,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,62.32483001
E07,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,37.95471721
E08,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,16.97900159
E09,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,51.01868002
E10,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,53.84840774
G01,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,48.33251233
G02,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,32.29207155
G03,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,17.0077136
G04,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,23.71356215
G05,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,29.18798466
G06,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,24.51111788
G07,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,36.17776305
G08,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,35.40891933
G09,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,23.67527948
G10,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,24.19847603
H01,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,42.66667645
H02,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,25.64045679
H03,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,18.7623362
H04,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,25.86377239
H05,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,32.6047134
H06,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,39.75400293
H07,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,36.03420302
H08,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,41.77979448
H09,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,28.63288588
H10,Montipora aequituberculata,Maeq,50,plating,sensitive,3.5,competitive,37.37409664
I01,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,23.28607228
I02,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,14.36939925
I03,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,20.75941574
I04,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,27.58011232
I05,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,25.06302644
I06,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,29.48467539
I07,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,15.32965635
I08,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,15.66781998
I09,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,25.83506039
I10,Turbinaria frondens,Tfro,50,plating,sensitive,3.5,generalist,17.59152439
J01,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,31.07978685
J02,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,42.74962224
J03,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,42.51354575
J04,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,52.20225272
J05,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,52.92643332
J06,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,13.97062139
J07,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,33.27466021
J08,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,32.58876228
J09,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,27.88956394
J10,Acropora hyacinthus,Ahya,50,branch/tabular,sensitive,5,competitive,25.31505405
A01,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,12.71048334
A02,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,12.35955882
A03,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,11.632188
A04,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,14.08865964
A05,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,17.79569866
A06,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,23.27969184
A07,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,26.25297959
A08,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,30.29818223
A09,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,15.3360368
A10,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,15.24671055
B01,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,21.54102035
B02,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,17.41606213
B03,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,17.21826831
B04,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,24.1793347
B05,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,16.36647879
B06,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,29.0125224
B07,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,15.84966268
B08,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,8.29521484
B09,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,7.354099079
B10,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,8.872645184
F01,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,29.4719145
F02,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,85.48584832
F03,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,18.53583037
F04,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,23.91135597
F05,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,19.62050616
F06,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,29.61547453
F07,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,17.78931821
F08,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,17.76060621
F09,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,31.89329369
F10,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,26.16046312
