frag_ID,rmax,topt,e,PR,species,full_species,dw_mg_cm2,dw_log,afdw_mg_cm2,afdw_log,chla_ug_cm2_mean,chla_log,chla_pg_sym,chla_sym_log,sym_cm2,sym_log,prot_ug_cm2,prot_log
A01,1.49,29.22,0.05,GrossPhoto,Pcyl,Porites cylindrica,172.954345993685,5.153027663680845,26.8806982022027,3.2914084901019365,8.171558650884219,2.1006596680182383,3.297284447425293,1.1930992349891092,2478269.24888601,14.723070990993401,1065.456628,6.971158744938231
A01,0.85,29.07,-0.26,NetPhoto,Pcyl,Porites cylindrica,172.954345993685,5.153027663680845,26.8806982022027,3.2914084901019365,8.171558650884219,2.1006596680182383,3.297284447425293,1.1930992349891092,2478269.24888601,14.723070990993401,1065.456628,6.971158744938231
A01,0.74,34,0.38,Respiration,Pcyl,Porites cylindrica,172.954345993685,5.153027663680845,26.8806982022027,3.2914084901019365,8.171558650884219,2.1006596680182383,3.297284447425293,1.1930992349891092,2478269.24888601,14.723070990993401,1065.456628,6.971158744938231
A02,0.73,26.62,NA,NetPhoto,Pcyl,Porites cylindrica,176.38170032998,5.1726503985654,28.4530112917627,3.348254000024318,5.745886301652785,1.748484172970581,3.6263805813605097,1.288235065832159,1584468.63828537,14.275759665102697,1199.313787,7.08950482804419
A02,1.45,30.32,0.22,GrossPhoto,Pcyl,Porites cylindrica,176.38170032998,5.1726503985654,28.4530112917627,3.348254000024318,5.745886301652785,1.748484172970581,3.6263805813605097,1.288235065832159,1584468.63828537,14.275759665102697,1199.313787,7.08950482804419
A02,0.77,31.41,0.49,Respiration,Pcyl,Porites cylindrica,176.38170032998,5.1726503985654,28.4530112917627,3.348254000024318,5.745886301652785,1.748484172970581,3.6263805813605097,1.288235065832159,1584468.63828537,14.275759665102697,1199.313787,7.08950482804419
A03,0.89,27.02,-0.13,NetPhoto,Pcyl,Porites cylindrica,186.551317774438,5.228706363563086,26.363627089475,3.271985298403553,10.384294487649232,2.340294519310108,2.7144284433190906,0.9985814131093347,3825591.53961404,15.157223664165047,1161.361872,7.05734862305516
A03,1.56,29.21,0.16,GrossPhoto,Pcyl,Porites cylindrica,186.551317774438,5.228706363563086,26.363627089475,3.271985298403553,10.384294487649232,2.340294519310108,2.7144284433190906,0.9985814131093347,3825591.53961404,15.157223664165047,1161.361872,7.05734862305516
A04,NA,NA,NA,NA,NA,NA,157.928437257641,5.062142001674651,29.2197183540354,3.3748437674682763,9.335409266503406,2.2338146181861984,2.972280310867086,1.0893294396579494,3140823.97692163,14.959995736492525,1318.176605,7.184004700774889
A05,NA,NA,NA,NA,NA,NA,126.435047198085,4.83972871541669,25.5679762111683,3.241340639169175,10.751847783451298,2.375077626635502,5.266146142912525,1.661298812856243,2041691.87327278,14.529289371743532,1205.95631,7.095028149433563
A06,NA,NA,NA,NA,NA,NA,109.322752959603,4.694304543322402,24.9860123005248,3.2183161603061943,28.648762654634133,3.3551102539081805,7.884938319572609,2.0649543978825173,3633352.79155196,15.105666413989939,2247.635674,7.717634131153372
A07,1.15,30.04,0.19,NetPhoto,Pcyl,Porites cylindrica,88.6883458447595,4.48512849223641,18.4106086578241,2.912927055959969,10.69481287877511,2.3697588462406,5.175496852080223,1.6439353446065728,2066432.10969715,14.5413340595983,1136.410148,7.035629579894403
A07,1.76,30.04,0.28,GrossPhoto,Pcyl,Porites cylindrica,88.6883458447595,4.48512849223641,18.4106086578241,2.912927055959969,10.69481287877511,2.3697588462406,5.175496852080223,1.6439353446065728,2066432.10969715,14.5413340595983,1136.410148,7.035629579894403
A08,1.18,29.91,-0.05,NetPhoto,Pcyl,Porites cylindrica,81.2479985756118,4.3975061879909045,18.9780362278849,2.943282322490882,17.314584041803464,2.8515491545686276,5.81811928874541,1.7609770632566666,2975976.115735,14.906082649276234,2118.486186,7.6584570493939506
A08,1.77,30.42,0.15,GrossPhoto,Pcyl,Porites cylindrica,81.2479985756118,4.3975061879909045,18.9780362278849,2.943282322490882,17.314584041803464,2.8515491545686276,5.81811928874541,1.7609770632566666,2975976.115735,14.906082649276234,2118.486186,7.6584570493939506
A08,0.6,31.36,0.37,Respiration,Pcyl,Porites cylindrica,81.2479985756118,4.3975061879909045,18.9780362278849,2.943282322490882,17.314584041803464,2.8515491545686276,5.81811928874541,1.7609770632566666,2975976.115735,14.906082649276234,2118.486186,7.6584570493939506
A09,NA,NA,NA,NA,NA,NA,154.646646822513,5.0411428165326955,33.4723592560324,3.51072000141642,19.015881789667983,2.94527451367698,5.375636182687523,1.681876926579557,3537419.78501251,15.078908145061696,1766.935557,7.477002001366015
A10,NA,NA,NA,NA,NA,NA,151.617403576056,5.021360265933688,32.0287665809549,3.4666344546359245,18.41722129718801,2.913286166960701,5.281543114486287,1.664218311551043,3487090.96905277,15.06457841337393,1694.901997,7.435380199263919
B01,1.38,30.73,0.46,GrossPhoto,Mvie,Montipora vietnamensis,110.100015140029,4.701389181240241,25.5326809530635,3.2399592376109094,9.058368599861511,2.2036890376005647,5.420180620761607,1.690129139760059,1671230.02601871,14.329070455804782,1362.12089,7.216798241948275
B01,0.81,29.76,0.32,NetPhoto,Mvie,Montipora vietnamensis,110.100015140029,4.701389181240241,25.5326809530635,3.2399592376109094,9.058368599861511,2.2036890376005647,5.420180620761607,1.690129139760059,1671230.02601871,14.329070455804782,1362.12089,7.216798241948275
B02,0.71,28.88,0.57,NetPhoto,Mvie,Montipora vietnamensis,134.454427710902,4.9012253141986735,28.4220391673579,3.3471648712335256,6.736786163783427,1.9075829809053024,4.253593464107916,1.447764146651403,1583787.03104301,14.275329392218174,1510.213427,7.320006262205182
B02,1.15,30.08,0.37,GrossPhoto,Mvie,Montipora vietnamensis,134.454427710902,4.9012253141986735,28.4220391673579,3.3471648712335256,6.736786163783427,1.9075829809053024,4.253593464107916,1.447764146651403,1583787.03104301,14.275329392218174,1510.213427,7.320006262205182
B03,0.6,30.83,1.31,Respiration,Mvie,Montipora vietnamensis,135.418186352253,4.908367667206429,30.3940747066528,3.414247678449197,7.490658839020043,2.0136567561466423,5.840430507573753,1.7648045111734676,1282552.51548774,14.06436280293745,1912.134602,7.555975489669051
B03,1.29,29.86,0.92,GrossPhoto,Mvie,Montipora vietnamensis,135.418186352253,4.908367667206429,30.3940747066528,3.414247678449197,7.490658839020043,2.0136567561466423,5.840430507573753,1.7648045111734676,1282552.51548774,14.06436280293745,1912.134602,7.555975489669051
B03,0.71,29.4,0.4,NetPhoto,Mvie,Montipora vietnamensis,135.418186352253,4.908367667206429,30.3940747066528,3.414247678449197,7.490658839020043,2.0136567561466423,5.840430507573753,1.7648045111734676,1282552.51548774,14.06436280293745,1912.134602,7.555975489669051
B04,NA,NA,NA,NA,NA,NA,98.5690203185505,4.5907570166866,23.6427789994845,3.1630577405985867,9.472650807310972,2.2484087843234475,5.586399862590176,1.7203350479524835,1695662.86701842,14.343584294335237,1381.962152,7.231259617556074
B05,NA,NA,NA,NA,NA,NA,142.465993851489,4.959103331591062,34.0126103977107,3.5267313499022803,8.384967599142149,2.126440531122465,5.678581835842634,1.7367015247703528,1476595.36157726,14.205249564316382,1206.745541,7.095682379485091
B06,NA,NA,NA,NA,NA,NA,82.5505609949999,4.413410966163759,19.5317959208768,2.972043697694941,8.171411628476609,2.100641675890112,7.313314022955204,1.989696525740922,1117333.61959133,13.926455708113458,1180.134011,7.073383279655348
