User,Public,,,,,,,,,,,,
Protocol name,silbiger proteins,,,,,,,,,,,,
Time of export,08/08/2025 17:31:21,,,,,,,,,,,,
Time of last change,08/08/2025 17:30:47,,,,,,,,,,,,
Time of last use (end time),08/08/2025 17:31:21,,,,,,,,,,,,
Software version,1.2.0.0,,,,,,,,,,,,
Instrument name,iD3-4243,,,,,,,,,,,,
Serial number,4243,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment (1 of 1),,,,,,,,,,,,,
Experiment name,Experiment 1,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate  (1 of 1),,,,,,,,,,,,,
Plate name,Plate 1,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,
Microplate name,Standard clrbtm,,,,,,,,,,,,
Rows,8,,,,,,,,,,,,
Columns,12,,,,,,,,,,,,
Well count,96 Wells,,,,,,,,,,,,
Well shape,Round,,,,,,,,,,,,
Bottom shape,Flat,,,,,,,,,,,,
Orientation,Landscape,,,,,,,,,,,,
Is lidded,False,,,,,,,,,,,,
Read Time,08/08/2025 17:30:47,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Reduction Settings,,,,,,,,,,,,,
Method,Polarization,,,,,,,,,,,,
G-Factor,0.5,,,,,,,,,,,,
,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,
Measurement mode,Abs,,,,,,,,,,,,
Measurement type,Endpoint,,,,,,,,,,,,
,,,,,,,,,,,,,
Wavelength settings,,,,,,,,,,,,,
Path check,False,,,,,,,,,,,,
Excitation/Emission,562 nm/-,,,,,,,,,,,,
,,,,,,,,,,,,,
Detection settings,,,,,,,,,,,,,
Speed read,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Shake settings,,,,,,,,,,,,,
Shake,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Read area settings,,,,,,,,,,,,,
Read order,Row,,,,,,,,,,,,
,,,,,,,,,,,,,
Well data,,,,,,,,,,,,,
Wavelength(Ex/Em),562 nm/-,1,2,3,4,5,6,7,8,9,10,11,12
,A,2.836,2.793,2.749,2.219,2.242,2.255,1.653,1.645,1.637,1.328,1.357,1.313
,B,0.997,0.981,0.943,0.578,0.578,0.572,0.366,0.369,0.358,0.182,0.163,0.164
,C,0.123,0.117,0.117,1.286,1.294,1.444,1.202,1.31,1.131,0.749,0.747,0.684
,D,1.494,1.452,1.325,1.634,1.622,1.51,0.832,0.8,0.8,0.734,0.735,0.744
,E,0.58,0.568,0.568,0.657,0.708,0.612,0.886,0.922,0.977,0.923,0.894,0.972
,F,,,,,,,,,,,,
,G,,,,,,,,,,,,
,H,,,,,,,,,,,,
