Sample.Name,Run,Slurry_vol_ml,SA_cm2
StandardA_Run1,RUN1,NA,NA
StandardB_Run1,RUN1,NA,NA
StandardC_Run1,RUN1,NA,NA
StandardD_Run1,RUN1,NA,NA
StandardE_Run1,RUN1,NA,NA
StandardF_Run1,RUN1,NA,NA
StandardG_Run1,RUN1,NA,NA
StandardH_Run1,RUN1,NA,NA
StandardI_Run1,RUN1,NA,NA
D01,RUN1,50,22.68312015
D02,RUN1,50,28.12564043
D03,RUN1,50,15.28499323
D04,RUN1,50,18.09876983
D05,RUN1,50,19.5279897
D06,RUN1,50,17.82760089
D07,RUN1,50,15.83371157
D08,RUN1,50,13.62288709
D09,RUN1,50,9.268232824
D10,RUN1,50,6.853234083
C01,RUN1,50,47.1170374
StandardA_Run2,RUN2,NA,NA
StandardB_Run2,RUN2,NA,NA
StandardC_Run2,RUN2,NA,NA
StandardD_Run2,RUN2,NA,NA
StandardE_Run2,RUN2,NA,NA
StandardF_Run2,RUN2,NA,NA
StandardG_Run2,RUN2,NA,NA
StandardH_Run2,RUN2,NA,NA
StandardI_Run2,RUN2,NA,NA
C02,RUN2,50,31.69549987
C03,RUN2,50,40.06664478
C04,RUN2,50,21.28899274
C05,RUN2,50,45.3751757
C06,RUN2,50,20.0990396
C07,RUN2,50,9.249091487
C08,RUN2,50,9.957320972
C09,RUN2,50,14.16522499
C10,RUN2,50,16.77801755
E01,RUN2,50,37.14759082
E02,RUN2,50,49.80958554
E03,RUN3,50,37.84624963
E04,RUN3,50,35.68646872
E05,RUN3,50,24.54940055
E06,RUN3,50,62.32483001
StandardA_Run3,RUN3,NA,NA
StandardB_Run3,RUN3,NA,NA
StandardC_Run3,RUN3,NA,NA
StandardD_Run3,RUN3,NA,NA
StandardE_Run3,RUN3,NA,NA
StandardF_Run3,RUN3,NA,NA
StandardG_Run3,RUN3,NA,NA
StandardH_Run3,RUN3,NA,NA
StandardI_Run3,RUN3,NA,NA
E07,RUN3,50,37.95471721
E08,RUN3,50,16.97900159
E09,RUN3,50,51.01868002
E10,RUN3,50,53.84840774
F01,RUN3,50,29.4719145
F02,RUN3,50,85.48584832
F03,RUN3,50,18.53583037
F04,RUN3,50,23.91135597
F05,RUN3,50,19.62050616
F06,RUN3,50,29.61547453
F07,RUN3,50,17.78931821
F08,RUN3,50,17.76060621
F09,RUN3,50,31.89329369
F10,RUN3,50,26.16046312
G01,RUN3,50,48.33251233
G02,RUN3,50,32.29207155
G03,RUN3,50,17.0077136
G04,RUN3,50,23.71356215
G05,RUN3,50,29.18798466
G06,RUN4,50,24.51111788
G07,RUN4,50,36.17776305
G08,RUN4,50,35.40891933
G09,RUN4,50,23.67527948
G10,RUN4,50,24.19847603
H01,RUN4,50,42.66667645
H02,RUN4,50,25.64045679
H03,RUN4,50,18.7623362
StandardA_Run4,RUN4,NA,NA
StandardB_Run4,RUN4,NA,NA
StandardC_Run4,RUN4,NA,NA
StandardD_Run4,RUN4,NA,NA
StandardE_Run4,RUN4,NA,NA
StandardF_Run4,RUN4,NA,NA
StandardG_Run4,RUN4,NA,NA
StandardH_Run4,RUN4,NA,NA
StandardI_Run4,RUN4,NA,NA
H04,RUN4,50,25.86377239
H05,RUN4,50,32.6047134
H06,RUN4,50,39.75400293
H07,RUN4,50,36.03420302
H08,RUN4,50,41.77979448
H09,RUN4,50,28.63288588
H10,RUN4,50,37.37409664
I01,RUN4,50,23.28607228
I02,RUN4,50,14.36939925
I03,RUN4,50,20.75941574
I04,RUN4,50,27.58011232
I05,RUN4,50,25.06302644
I06,RUN4,50,29.48467539
I07,RUN4,50,15.32965635
I08,RUN4,50,15.66781998
I09,RUN5,50,25.83506039
I10,RUN5,50,17.59152439
J01,RUN5,50,31.07978685
J02,RUN5,50,42.74962224
J03,RUN5,50,42.51354575
J04,RUN5,50,52.20225272
J05,RUN5,50,52.92643332
J06,RUN5,50,13.97062139
J07,RUN5,50,33.27466021
J08,RUN5,50,32.58876228
J09,RUN5,50,27.88956394
J10,RUN5,50,25.31505405
StandardA_Run5,RUN5,NA,NA
StandardB_Run5,RUN5,NA,NA
StandardC_Run5,RUN5,NA,NA
StandardD_Run5,RUN5,NA,NA
StandardE_Run5,RUN5,NA,NA
StandardF_Run5,RUN5,NA,NA
StandardG_Run5,RUN5,NA,NA
StandardH_Run5,RUN5,NA,NA
StandardI_Run5,RUN5,NA,NA
A01,RUN5,50,12.71048334
A02,RUN5,50,12.35955882
A03,RUN5,50,11.632188
A04,RUN5,50,14.08865964
A05,RUN5,50,17.79569866
A06,RUN5,50,23.27969184
A07,RUN5,50,26.25297959
A08,RUN5,50,30.29818223
A09,RUN5,50,15.3360368
A10,RUN5,50,15.24671055
B01,RUN5,50,21.54102035
B02,RUN6,50,17.41606213
B03,RUN6,50,17.21826831
B04,RUN6,50,24.1793347
B05,RUN6,50,16.36647879
B06,RUN6,50,29.0125224
B07,RUN6,50,15.84966268
B08,RUN6,50,8.295214837
B09,RUN6,50,7.354099079
B10,RUN6,50,8.872645184
StandardA_Run6,RUN6,NA,NA
StandardB_Run6,RUN6,NA,NA
StandardC_Run6,RUN6,NA,NA
StandardD_Run6,RUN6,NA,NA
StandardE_Run6,RUN6,NA,NA
StandardF_Run6,RUN6,NA,NA
StandardG_Run6,RUN6,NA,NA
StandardH_Run6,RUN6,NA,NA
StandardI_Run6,RUN6,NA,NA
