PreSens Measurement Studio 2,3.0.3.1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
6/10/2023,8:10:17,1,default,331420650,OXY_CH1,0,min,134.866,μmol/L,Humid,25.61,deg,142659,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235088,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:18,1,default,331420650,OXY_CH1,0.017,min,134.811,μmol/L,Humid,25.615,deg,142661,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235084.67,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:19,1,default,331420650,OXY_CH1,0.034,min,134.787,μmol/L,Humid,25.615,deg,142671,µV,27.448,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235085.73,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:20,1,default,331420650,OXY_CH1,0.05,min,134.776,μmol/L,Humid,25.616,deg,142667,µV,27.448,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235088.19,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:21,1,default,331420650,OXY_CH1,0.067,min,134.836,μmol/L,Humid,25.615,deg,142661,µV,27.436,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235082.9,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:22,1,default,331420650,OXY_CH1,0.083,min,134.819,μmol/L,Humid,25.612,deg,142671,µV,27.448,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235089.45,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:23,1,default,331420650,OXY_CH1,0.1,min,134.768,μmol/L,Humid,25.619,deg,142670,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235094.4,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:24,1,default,331420650,OXY_CH1,0.116,min,134.833,μmol/L,Humid,25.613,deg,142669,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235090.46,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:25,1,default,331420650,OXY_CH1,0.133,min,134.836,μmol/L,Humid,25.615,deg,142679,µV,27.436,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235103.9,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:26,1,default,331420650,OXY_CH1,0.15,min,134.844,μmol/L,Humid,25.612,deg,142680,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235094.13,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:27,1,default,331420650,OXY_CH1,0.167,min,134.804,μmol/L,Humid,25.618,deg,142678,µV,27.436,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235099.89,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:28,1,default,331420650,OXY_CH1,0.184,min,134.847,μmol/L,Humid,25.614,deg,142692,µV,27.436,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235095.8,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:29,1,default,331420650,OXY_CH1,0.2,min,134.743,μmol/L,Humid,25.619,deg,142686,µV,27.448,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235095.67,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:30,1,default,331420650,OXY_CH1,0.217,min,134.79,μmol/L,Humid,25.617,deg,142682,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235098.77,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:31,1,default,331420650,OXY_CH1,0.233,min,134.811,μmol/L,Humid,25.615,deg,142687,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235105.03,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:32,1,default,331420650,OXY_CH1,0.25,min,134.801,μmol/L,Humid,25.616,deg,142688,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235091.17,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
6/10/2023,8:10:33,1,default,331420650,OXY_CH1,0.267,min,134.779,μmol/L,Humid,25.618,deg,142701,µV,27.442,°C,1016,hPa,36.6,pmil,0,55.75,deg,20,°C,100,%a.s.,22.39,deg,20,°C,971,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28.35,0,58.1,235095.35,SABD0002000014,AAV2.0.0.13,3.0.3.1703,PSt7-10,180726-003,9/13/2019 10:45,0000-00,0,no battery,V
