sample_ID,species_ID,weight_g,volume_mL,frag_ID,SA_cm2,species,full_species
A01_TPC,A,1,463,A01,24.72486281,Pcyl,Porites cylindrica
G01_TPC,G,1,460,G01,20.38296944,Elam,Echinopora lamellosa
C01_TPC,C,1,462,C01,23.69761104,Fcom,Favites complanata
F01_TPC,F,1,464,F01,14.38535037,Prug,Pachyseris rugosa
E01_TPC,E,1,460,E01,33.93822657,Peyd,Pocillopora eydouxi
BLANK1_Run1_TPC,BLANK,NA,475,BLANK1_Run1,NA,BLANK,BLANK
J01_TPC,J,1,465,J01,16.22929921,Ahya,Acropora hyacinthus
I01_TPC,I,1,468,I01,26.20193602,Tfro,Turbinaria frondens
BLANK2_Run1_TPC,BLANK,NA,475,BLANK2_Run1,NA,BLANK,BLANK
B01_TPC,B,1,462,B01,19.26639142,Mvie,Montipora vietnamensis
H01_TPC,H,1,461,H01,32.84078989,Maeq,Montipora aequituberculata
D01_TPC,D,1,460,D01,28.54674986,Prus,Porites rus
G02_TPC,G,1,461,G02,16.88329491,Elam,Echinopora lamellosa
E02_TPC,E,1,457,E02,34.41995023,Peyd,Pocillopora eydouxi
F04_TPC,F,1,463,F04,22.44704366,Prug,Pachyseris rugosa
D02_TPC,D,1,464,D02,18.28699298,Prus,Porites rus
A02_TPC,A,1,459,A02,19.14835317,Pcyl,Porites cylindrica
I02_TPC,I,1,460,I02,24.37074807,Tfro,Turbinaria frondens
BLANK2_Run2_TPC,BLANK,NA,475,BLANK2_Run2,NA,BLANK,BLANK
C02_TPC,C,1,460,C02,24.72805304,Fcom,Favites complanata
J02_TPC,J,1,464,J02,20.79769841,Ahya,Acropora hyacinthus
B02_TPC,B,1,464,B02,18.64110773,Mvie,Montipora vietnamensis
BLANK1_Run2_TPC,BLANK,NA,475,BLANK1_Run2,NA,BLANK,BLANK
H02_TPC,H,1,455,H02,37.79520607,Maeq,Montipora aequituberculata
E03_TPC,E,1,457,E03,37.62293403,Peyd,Pocillopora eydouxi
I03_TPC,I,1,459,I03,30.56935118,Tfro,Turbinaria frondens
A03_TPC,A,1,461,A03,19.11326072,Pcyl,Porites cylindrica
H04_TPC,H,1,458,H04,41.64580512,Maeq,Montipora aequituberculata
BLANK2_Run3_TPC,BLANK,NA,475,BLANK2_Run3,NA,BLANK,BLANK
F03_TPC,F,1,463,F03,17.6489484,Prug,Pachyseris rugosa
J03_TPC,J,1,461,J03,29.80688791,Ahya,Acropora hyacinthus
B03_TPC,B,1,465,B03,17.06832783,Mvie,Montipora vietnamensis
C03_TPC,C,1,452,C03,26.45396363,Fcom,Favites complanata
