date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,temp_c_level,temp_c_value
8/1/25,6:35,6:56,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,1,24.5
8/1/25,6:35,6:56,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,1,24.5
8/1/25,6:35,6:56,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,1,24.5
8/1/25,6:35,6:56,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,1,24.5
8/1/25,6:35,6:56,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,1,24.5
8/1/25,6:35,6:56,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,1,24.5
8/1/25,6:35,6:56,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,1,24.5
8/1/25,6:35,6:56,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,1,24.5
8/1/25,6:35,6:56,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,1,24.5
8/1/25,6:35,6:56,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,1,24.5
8/1/25,6:35,6:56,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,1,24.5
8/1/25,6:35,6:56,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,1,24.5
8/1/25,6:58,7:19,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,1,24.5
8/1/25,6:58,7:19,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,1,24.5
8/1/25,6:58,7:19,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,1,24.5
8/1/25,6:58,7:19,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,1,24.5
8/1/25,6:58,7:19,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,1,24.5
8/1/25,6:58,7:19,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,1,24.5
8/1/25,6:58,7:19,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,1,24.5
8/1/25,6:58,7:19,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,1,24.5
8/1/25,6:58,7:19,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,1,24.5
8/1/25,6:58,7:19,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,1,24.5
8/1/25,6:58,7:19,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,1,24.5
8/1/25,6:58,7:19,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,1,24.5
8/1/25,7:45,8:05,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,2,26
8/1/25,7:45,8:05,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,2,26
8/1/25,7:45,8:05,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,2,26
8/1/25,7:45,8:05,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,2,26
8/1/25,7:45,8:05,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,2,26
8/1/25,7:45,8:05,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,2,26
8/1/25,7:45,8:05,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,2,26
8/1/25,7:45,8:05,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,2,26
8/1/25,7:45,8:05,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,2,26
8/1/25,7:45,8:05,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,2,26
8/1/25,7:45,8:05,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,2,26
8/1/25,7:45,8:05,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,2,26
8/1/25,8:09,8:30,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,2,26
8/1/25,8:09,8:30,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,2,26
8/1/25,8:09,8:30,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,2,26
8/1/25,8:09,8:30,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,2,26
8/1/25,8:09,8:30,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,2,26
8/1/25,8:09,8:30,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,2,26
8/1/25,8:09,8:30,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,2,26
8/1/25,8:09,8:30,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,2,26
8/1/25,8:09,8:30,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,2,26
8/1/25,8:09,8:30,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,2,26
8/1/25,8:09,8:30,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,2,26
8/1/25,8:09,8:30,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,2,26
8/1/25,8:57,9:17,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,3,27
8/1/25,8:57,9:17,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,3,27
