"id","porB","Favites","porM","PorLob","Mtub","gal","pec","gon","Faviidae","san","fun","pla","AcrpBr","myc","HCBr","Favia","MoAeq","pac","*MOBR","lob","HCEn","poc","*MOEN","dip","PorE","*MOFO","mer","TurbEnc","lep","turb","PorRus","eph","PorP","AcrpTab","mtp","sym","mon","cyp","HCP","HCMa","Alveo","psa","Astreo","Dis-AcroWS","AcrpDi","Ech_lam","HCFo","lepta","hydno","pav","phy","gop","SiteName","Year","Quadrat","MeanSA","MinSA","MaxSA","RangeSA","SdSA","MeanRug","MinRug","MaxRug","RangeRug","SdRug","MeanFD","MinFD","MaxFD","RangeFD","SdFD","MeanHR","MinHR","MaxHR","RangeHR","SdHR","MeanDepth","MinDepth","MaxDepth","RangeDepth","SdDepth","MinSpeed","MaxSpeed","MeanSpeed","MeanFlowDir","AverageDirection","minTemp","maxTemp","meanTemp","TempRange","FlowRange","richness","shannon","evenness"
"Oki02 Quadrat10",29,2,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat10",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,41,1.11619174036061,0.300570911325062
"Oki02 Quadrat11",0,0,0,6,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat11",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,13,1.31143133747324,0.511289368602243
"Oki02 Quadrat12",41,0,0,3,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat12",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,49,0.688992013171834,0.177035926737501
"Oki02 Quadrat13",0,0,5,6,0,0,4,0,4,1,0,0,0,1,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat13",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,31,2.16554897255649,0.63062231848973
"Oki02 Quadrat14",0,0,5,1,0,1,0,0,3,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat14",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,15,1.73212598149027,0.639621075261186
"Oki02 Quadrat15",4,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat15",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,20,1.7354337715853,0.579302024718808
"Oki02 Quadrat16",20,0,1,1,0,0,1,0,2,1,0,0,0,0,1,1,0,3,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat16",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,38,1.8144570037967,0.498807979831652
"Oki02 Quadrat17",0,0,6,0,0,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat17",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,20,1.70927136439708,0.570568798649447
"Oki02 Quadrat18",1,0,6,0,0,0,0,0,1,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat18",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,19,1.88576428076556,0.640449435056525
"Oki02 Quadrat19",3,0,9,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Oki02","2025","Quadrat19",2.95235069238998,1.79189819950888,4.34656681789069,2.55466861838181,0.842882559619145,2.95235069239009,1.79189819950886,4.34656681789117,2.55466861838231,0.842882559619274,2.17982306981746,2.07544134433955,2.3481943017909,0.27275295745135,0.0828155888083343,1.07326397895813,0.546697616577148,1.5430850982666,0.996387481689452,0.336080901009689,7.76830945801978,5.89019694816446,10.3212733624344,4.43107641426994,1.44958270699032,0.01,14.46,1.74,"132.02˚","SE",27.05,30.05,29.23,3,14.45,20,1.63424521628449,0.545524455142883
